campus,fall_term,admits,applicants,enrollees,admit_rate,yield_rate
San Diego,2018,38649,116801,9828,0.33089613958784597,0.2542885973763875
San Diego,2019,41563,118412,9185,0.3510032766949296,0.22098982267882492
San Diego,2020,47858,121151,9785,0.3950276927140511,0.2044590246144845
San Diego,2021,52671,140875,11137,0.3738846495119787,0.21144462797364774
San Diego,2022,42532,150963,9616,0.2817379092890311,0.2260885921188752
San Diego,2023,44325,150812,10215,0.29390897276078826,0.23045685279187816
San Diego,2024,48106,156949,11056,0.30650720934825965,0.22982580135534028
San Diego,2025,50643,160198,11388,0.31612754216656885,0.22486819501214383
Santa Barbara,2017,36221,98670,6751,0.3670923279618932,0.18638358963032495
Santa Barbara,2018,39861,110204,7568,0.3617019345940256,0.18985976267529667
Santa Barbara,2019,37052,111906,7052,0.33109931549693494,0.19032710784842924
Santa Barbara,2020,44634,109942,7300,0.40597769733132016,0.16355244880584308
Santa Barbara,2021,40863,126204,7000,0.3237852999904916,0.17130411374593152
Santa Barbara,2022,38933,128631,7009,0.3026719842028749,0.1800272262604988
Santa Barbara,2023,41082,127948,6946,0.32108356519836184,0.1690764811839735
Santa Barbara,2024,47716,128697,7118,0.3707623332323209,0.149174281163551
Santa Barbara,2025,53232,129032,7119,0.4125488250976502,0.13373534715960325
Santa Cruz,2017,32997,63095,5282,0.5229732942388462,0.1600751583477286
Santa Cruz,2018,34528,68459,5508,0.5043602740326326,0.1595227062094532
Santa Cruz,2019,35685,67660,5174,0.5274164942358853,0.14499089253187614
Santa Cruz,2020,43511,67640,5834,0.6432732111176819,0.1340810369791547
Santa Cruz,2021,43896,75042,5915,0.584952426641081,0.1347503189356661
Santa Cruz,2022,38025,77733,5057,0.4891744818802825,0.13299145299145299
Santa Cruz,2023,50216,80013,5474,0.6275980153225101,0.10900908077106898
Santa Cruz,2024,54918,83844,5638,0.6550021468441392,0.10266215084307513
Santa Cruz,2025,56892,79236,5918,0.718006966530365,0.10402165506573859
Systemwide,2017,131492,210331,66018,0.6251669986830282,0.5020685669090135
Systemwide,2018,135972,223478,67692,0.6084357296915133,0.49783779013326274
Systemwide,2019,136196,217984,66807,0.6247981503229595,0.4905210138330054
Systemwide,2020,148309,215544,68454,0.6880683294362172,0.4615633575845026
Systemwide,2021,162322,250155,73236,0.6488856908716596,0.45117728958489917
Systemwide,2022,152907,251698,68149,0.6075018474521053,0.44568920978110876
Systemwide,2023,158702,246669,70553,0.6433804004556714,0.4445627654345881
Systemwide,2024,166389,250775,71093,0.6634991526268568,0.42726983153934456
Systemwide,2025,179537,250289,73839,0.7173187794909085,0.41127455621960934
