campus,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
Berkeley,2010,9831.0,1855.0,925.0,0.18868884141999798,0.49865229110512127
Berkeley,2011,9454.0,1715.0,795.0,0.18140469642479373,0.46355685131195334
Berkeley,2012,10083.0,1743.0,848.0,0.1728652186849152,0.4865174985656913
Berkeley,2013,10848.0,1744.0,892.0,0.1607669616519174,0.5114678899082569
Berkeley,2014,11459.0,1782.0,1036.0,0.15551095209006022,0.5813692480359147
Berkeley,2015,11658.0,1957.0,968.0,0.16786755875793447,0.49463464486458864
Berkeley,2016,11690.0,2401.0,1390.0,0.20538922155688621,0.5789254477301125
Berkeley,2017,12656.0,2202.0,1224.0,0.17398862199747156,0.555858310626703
Berkeley,2018,14319.0,2151.0,1207.0,0.15021998742928974,0.5611343561134357
Berkeley,2019,13475.0,2357.0,1402.0,0.1749165120593692,0.5948239287229529
Berkeley,2020,14303.0,2524.0,1427.0,0.17646647556456688,0.5653724247226625
Berkeley,2021,17296.0,2539.0,1497.0,0.14679694727104534,0.589602205592753
Berkeley,2022,19752.0,2440.0,1513.0,0.12353179424868367,0.6200819672131147
Berkeley,2023,19461.0,2492.0,1518.0,0.1280509737423565,0.6091492776886035
Berkeley,2024,19485.0,2674.0,1670.0,0.13723376956633307,0.6245325355272999
Berkeley,2025,19531.0,2248.0,1404.0,0.11509907326813783,0.6245551601423488
Davis,2010,12738.0,6315.0,1801.0,0.49576071596796983,0.28519398258115597
Davis,2011,12525.0,6013.0,1673.0,0.4800798403193613,0.27823050058207216
Davis,2012,13245.0,6113.0,1724.0,0.46153265383163455,0.28202192049730085
Davis,2013,13979.0,5612.0,1553.0,0.40145933185492527,0.27672843905915895
Davis,2014,14364.0,5516.0,1567.0,0.3840155945419103,0.2840826686004351
Davis,2015,14500.0,4895.0,1398.0,0.3375862068965517,0.28559754851889685
Davis,2016,14673.0,5562.0,1528.0,0.37906358617869557,0.2747213232650126
Davis,2017,15296.0,5389.0,1277.0,0.3523143305439331,0.236964186305437
Davis,2018,17629.0,5819.0,1669.0,0.3300811163423904,0.2868190410723492
Davis,2019,17073.0,5740.0,1653.0,0.33620336203362033,0.28797909407665506
Davis,2020,17365.0,6841.0,1698.0,0.3939533544486035,0.248209326121912
Davis,2021,19398.0,7161.0,2057.0,0.36916176925456234,0.2872503840245776
Davis,2022,21019.0,6752.0,1934.0,0.32123316998905754,0.28643364928909953
Davis,2023,20590.0,6855.0,1902.0,0.3329286061194755,0.2774617067833698
Davis,2024,21078.0,6206.0,1549.0,0.29443021159502797,0.24959716403480503
Davis,2025,20856.0,6334.0,1520.0,0.30370157268891446,0.23997473950110515
Irvine,2010,7920.0,3761.0,507.0,0.4748737373737374,0.13480457325179473
Irvine,2011,7715.0,3341.0,540.0,0.43305249513933897,0.16162825501346903
Irvine,2012,8381.0,3075.0,373.0,0.366901324424293,0.12130081300813009
Irvine,2013,8945.0,3641.0,483.0,0.40704304080491893,0.13265586377368854
Irvine,2014,9890.0,3298.0,335.0,0.33346814964610716,0.1015767131594906
Irvine,2015,10433.0,3439.0,344.0,0.3296271446372089,0.10002907822041292
Irvine,2016,10839.0,3985.0,465.0,0.3676538426054064,0.11668757841907151
Irvine,2017,11666.0,4021.0,585.0,0.3446768386764958,0.1454861974633176
Irvine,2018,14284.0,3708.0,751.0,0.2595911509381126,0.20253505933117583
Irvine,2019,14159.0,3040.0,624.0,0.21470442827883326,0.20526315789473684
Irvine,2020,14926.0,3706.0,780.0,0.24829157175398633,0.2104695089044792
Irvine,2021,16429.0,2073.0,330.0,0.12617931706129407,0.15918958031837915
Irvine,2022,17982.0,2357.0,463.0,0.13107551996440886,0.19643614764531184
Irvine,2023,17849.0,3244.0,790.0,0.18174687657571853,0.2435265104808878
Irvine,2024,18066.0,3326.0,660.0,0.1841027344182442,0.1984365604329525
Irvine,2025,17756.0,3282.0,698.0,0.18483892768641585,0.21267519804996954
Los Angeles,2010,9244.0,2057.0,604.0,0.22252271743833837,0.29363150218765194
Los Angeles,2011,9232.0,2213.0,752.0,0.239709705372617,0.33981021238138276
Los Angeles,2012,10000.0,1882.0,512.0,0.1882,0.2720510095642933
Los Angeles,2013,10488.0,1854.0,482.0,0.17677345537757438,0.2599784250269687
Los Angeles,2014,11277.0,1778.0,560.0,0.15766604593420236,0.31496062992125984
Los Angeles,2015,11512.0,1788.0,560.0,0.155316191799861,0.3131991051454139
Los Angeles,2016,11930.0,1968.0,629.0,0.1649622799664711,0.3196138211382114
Los Angeles,2017,12765.0,1712.0,600.0,0.13411672542107325,0.35046728971962615
Los Angeles,2018,15086.0,1680.0,683.0,0.1113615272438022,0.40654761904761905
Los Angeles,2019,14502.0,1574.0,673.0,0.10853675355123431,0.4275730622617535
Los Angeles,2020,14836.0,1808.0,848.0,0.12186573200323537,0.4690265486725664
Los Angeles,2021,17991.0,1365.0,596.0,0.07587126896781725,0.43663003663003663
Los Angeles,2022,19610.0,1633.0,873.0,0.08327383987761346,0.5345988977342315
Los Angeles,2023,18912.0,1494.0,794.0,0.078997461928934,0.5314591700133868
Los Angeles,2024,19009.0,1498.0,791.0,0.07880477668472828,0.5280373831775701
Los Angeles,2025,18516.0,1514.0,773.0,0.08176712032836465,0.5105680317040951
Merced,2010,4735.0,4237.0,200.0,0.8948257655755015,0.047203209818267644
Merced,2011,2775.0,2305.0,144.0,0.8306306306306306,0.062472885032537964
Merced,2012,2746.0,2192.0,143.0,0.7982520029133284,0.06523722627737226
Merced,2013,2950.0,2175.0,170.0,0.7372881355932204,0.07816091954022988
Merced,2014,3149.0,2361.0,181.0,0.7497618291521118,0.07666243117323168
Merced,2015,3791.0,2528.0,224.0,0.666842521762068,0.08860759493670886
Merced,2016,4085.0,3307.0,269.0,0.8095471236230111,0.08134260659207741
Merced,2017,4205.0,3209.0,315.0,0.7631391200951249,0.09816142100342785
Merced,2018,5179.0,3762.0,367.0,0.7263950569608032,0.0975544922913344
Merced,2019,5234.0,4070.0,324.0,0.7776079480320979,0.07960687960687961
Merced,2020,5264.0,4714.0,248.0,0.895516717325228,0.05260924904539669
Merced,2021,6206.0,5677.0,433.0,0.9147599097647438,0.07627267923198873
Merced,2022,6994.0,6624.0,480.0,0.9470975121532742,0.07246376811594203
Merced,2023,7151.0,6720.0,454.0,0.9397287092714306,0.0675595238095238
Merced,2024,7230.0,6861.0,355.0,0.9489626556016597,0.05174172861098965
Merced,2025,10588.0,10283.0,239.0,0.9711938043067624,0.023242244481182533
Riverside,2010,3642.0,2988.0,313.0,0.8204283360790774,0.10475234270414993
Riverside,2011,2985.0,2100.0,128.0,0.7035175879396985,0.06095238095238095
Riverside,2012,3215.0,2200.0,213.0,0.6842923794712286,0.09681818181818182
Riverside,2013,3703.0,2483.0,277.0,0.6705374021064002,0.11155859846959323
Riverside,2014,4130.0,2660.0,331.0,0.6440677966101694,0.12443609022556391
Riverside,2015,4712.0,2920.0,280.0,0.6196943972835314,0.0958904109589041
Riverside,2016,5292.0,3833.0,361.0,0.7243008314436886,0.0941821027915471
Riverside,2017,5304.0,3478.0,381.0,0.6557315233785822,0.10954571592869465
Riverside,2018,6745.0,3986.0,424.0,0.5909562638991845,0.10637230306071249
Riverside,2019,6753.0,4474.0,536.0,0.6625203613208944,0.11980330800178811
Riverside,2020,7017.0,5400.0,446.0,0.7695596408721675,0.08259259259259259
Riverside,2021,7994.0,5363.0,541.0,0.6708781586189643,0.10087637516315495
Riverside,2022,8502.0,6159.0,739.0,0.7244177840508116,0.11998701087838935
Riverside,2023,9020.0,6472.0,613.0,0.7175166297117517,0.09471569839307788
Riverside,2024,9089.0,7164.0,623.0,0.7882055231598636,0.08696259073143495
Riverside,2025,11648.0,10477.0,764.0,0.8994677197802198,0.07292163787343706
San Diego,2010,9019.0,3710.0,827.0,0.4113538086262335,0.222911051212938
San Diego,2011,9366.0,3089.0,479.0,0.3298099508861841,0.1550663645192619
San Diego,2012,9932.0,3453.0,731.0,0.3476641159887233,0.21169997103967564
San Diego,2013,10519.0,3576.0,711.0,0.3399562696073771,0.1988255033557047
San Diego,2014,11298.0,3596.0,655.0,0.3182864223756417,0.182146829810901
San Diego,2015,11547.0,3710.0,714.0,0.3212955746081233,0.19245283018867926
San Diego,2016,12003.0,4012.0,662.0,0.3342497708906107,0.1650049850448654
San Diego,2017,12598.0,3871.0,650.0,0.3072709953960946,0.1679152673727719
San Diego,2018,14625.0,2368.0,461.0,0.16191452991452993,0.19467905405405406
San Diego,2019,14209.0,3184.0,411.0,0.22408332746850587,0.12908291457286433
San Diego,2020,14744.0,4788.0,796.0,0.3247422680412371,0.16624895572263992
San Diego,2021,17198.0,3426.0,539.0,0.19920921037329922,0.15732632807939287
San Diego,2022,19064.0,3273.0,642.0,0.17168485102811581,0.19615032080659944
San Diego,2023,18449.0,3261.0,681.0,0.17675754783457098,0.20883164673413063
San Diego,2024,19250.0,3515.0,663.0,0.1825974025974026,0.18862019914651493
San Diego,2025,18847.0,3675.0,857.0,0.19499124529102774,0.23319727891156464
Santa Barbara,2010,8363.0,3837.0,503.0,0.4588066483319383,0.13109199895751888
Santa Barbara,2011,8294.0,3772.0,620.0,0.4547865927176272,0.16436903499469777
Santa Barbara,2012,9104.0,4164.0,773.0,0.45738137082601055,0.1856388088376561
Santa Barbara,2013,10096.0,4456.0,767.0,0.44136291600633915,0.17212746858168762
Santa Barbara,2014,11004.0,4480.0,830.0,0.4071246819338422,0.18526785714285715
Santa Barbara,2015,11510.0,4176.0,639.0,0.3628149435273675,0.15301724137931033
Santa Barbara,2016,12274.0,4885.0,870.0,0.39799576340231385,0.1780962128966223
Santa Barbara,2017,13003.0,4441.0,732.0,0.34153656848419595,0.16482774149966223
Santa Barbara,2018,15714.0,4791.0,850.0,0.3048873615883925,0.17741598831141725
Santa Barbara,2019,15099.0,3935.0,679.0,0.26061328564805614,0.17255400254129605
Santa Barbara,2020,15267.0,5764.0,907.0,0.3775463417829305,0.1573560027758501
Santa Barbara,2021,17145.0,4480.0,796.0,0.26130067074948965,0.17767857142857144
Santa Barbara,2022,18293.0,4479.0,867.0,0.24484775597222982,0.19356999330207636
Santa Barbara,2023,17927.0,4266.0,738.0,0.2379650806046745,0.1729957805907173
Santa Barbara,2024,18255.0,5225.0,801.0,0.2862229526157217,0.15330143540669858
Santa Barbara,2025,17846.0,5323.0,695.0,0.29827412305278495,0.1305654705992861
Santa Cruz,2010,7948.0,5398.0,1060.0,0.6791645697030699,0.19636902556502409
Santa Cruz,2011,7528.0,5426.0,1075.0,0.7207757704569607,0.19812016218208625
Santa Cruz,2012,8619.0,5537.0,1158.0,0.6424179139111266,0.20913852266570346
Santa Cruz,2013,9661.0,5363.0,919.0,0.5551185177517856,0.17135931381689354
Santa Cruz,2014,10193.0,5869.0,1163.0,0.5757873050132444,0.1981598227977509
Santa Cruz,2015,10971.0,5791.0,1009.0,0.5278461398231702,0.17423588326713865
Santa Cruz,2016,11595.0,7440.0,1367.0,0.6416558861578266,0.18373655913978496
Santa Cruz,2017,12302.0,6450.0,1139.0,0.5243049910583645,0.1765891472868217
Santa Cruz,2018,13998.0,6733.0,1102.0,0.48099728532647523,0.16367146888459824
Santa Cruz,2019,13422.0,5938.0,862.0,0.4424079868872001,0.14516672280229034
Santa Cruz,2020,13481.0,9142.0,1353.0,0.678139603886952,0.1479982498359221
Santa Cruz,2021,15638.0,8462.0,1232.0,0.5411177899987211,0.14559205861498464
Santa Cruz,2022,17101.0,7451.0,1221.0,0.4357055142974095,0.1638706213931016
Santa Cruz,2023,17129.0,10653.0,1388.0,0.6219277249109697,0.1302919365436966
Santa Cruz,2024,17602.0,10974.0,1500.0,0.6234518804681286,0.1366867140513942
Santa Cruz,2025,16167.0,11855.0,1466.0,0.7332838498175296,0.12366090257275411
Universitywide,2005,13797.0,12301.0,7172.0,0.8915706312966587,0.5830420291033249
Universitywide,2006,15341.0,13843.0,8312.0,0.9023531712404668,0.6004478797948422
Universitywide,2007,15559.0,14041.0,7900.0,0.9024358891959637,0.5626379887472402
Universitywide,2008,16303.0,14578.0,7958.0,0.8941912531435932,0.5458910687337083
Universitywide,2009,16235.0,14357.0,7430.0,0.8843239913766554,0.517517587239674
Universitywide,2010,16767.0,14784.0,7465.0,0.8817319735194131,0.5049377705627706
Universitywide,2011,16484.0,12732.0,6993.0,0.7723853433632614,0.5492459943449576
Universitywide,2012,18151.0,13183.0,7236.0,0.7262960718417718,0.5488887203216264
Universitywide,2013,19331.0,13171.0,7015.0,0.6813408514820755,0.5326095209171665
Universitywide,2014,20223.0,13616.0,7462.0,0.6732927854423182,0.5480317273795534
Universitywide,2015,20618.0,13219.0,7034.0,0.6411388107478901,0.5321128678417429
Universitywide,2016,21017.0,15237.0,8407.0,0.7249845363277347,0.5517490319616722
Universitywide,2017,21912.0,14534.0,7765.0,0.6632895217232566,0.5342644832805835
Universitywide,2018,24644.0,15678.0,8352.0,0.6361791916896608,0.5327210103329506
Universitywide,2019,23467.0,15276.0,8035.0,0.650956662547407,0.525988478659335
Universitywide,2020,23659.0,17829.0,9292.0,0.7535821463290925,0.5211733692299063
Universitywide,2021,26911.0,18373.0,8955.0,0.682731968340084,0.4873999891144614
Universitywide,2022,28013.0,19106.0,9581.0,0.6820404812051547,0.501465508217314
Universitywide,2023,27200.0,19922.0,9713.0,0.7324264705882353,0.4875514506575645
Universitywide,2024,27330.0,20030.0,9494.0,0.7328942553969996,0.4739890164752871
Universitywide,2025,26457.0,21070.0,9226.0,0.7963865895604187,0.4378737541528239
