county,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
San Francisco,2007,1543.0,1339.0,886.0,0.8677900194426442,0.6616878267363704
San Francisco,2008,1587.0,1348.0,822.0,0.84940138626339,0.6097922848664689
San Francisco,2009,1532.0,1270.0,760.0,0.8289817232375979,0.5984251968503937
San Francisco,2010,1735.0,1452.0,920.0,0.8368876080691643,0.6336088154269972
San Francisco,2011,1606.0,1225.0,833.0,0.7627646326276464,0.68
San Francisco,2012,1724.0,1272.0,875.0,0.7378190255220418,0.6878930817610063
San Francisco,2013,1799.0,1223.0,842.0,0.67982212340189,0.6884709730171709
San Francisco,2014,1919.0,1291.0,861.0,0.6727462219906201,0.6669248644461657
San Francisco,2015,1826.0,1131.0,748.0,0.6193866374589266,0.6613616268788682
San Francisco,2016,1834.0,1301.0,869.0,0.7093784078516903,0.6679477325134512
San Francisco,2017,1905.0,1207.0,746.0,0.6335958005249344,0.6180613090306545
San Francisco,2018,2075.0,1307.0,803.0,0.6298795180722891,0.6143840856924254
San Francisco,2019,1867.0,1192.0,714.0,0.6384574183181575,0.5989932885906041
San Francisco,2020,1852.0,1420.0,868.0,0.7667386609071274,0.6112676056338028
San Francisco,2021,2166.0,1550.0,882.0,0.7156048014773777,0.5690322580645162
San Francisco,2022,2275.0,1665.0,1017.0,0.7318681318681318,0.6108108108108108
San Francisco,2023,2192.0,1666.0,989.0,0.760036496350365,0.5936374549819928
San Francisco,2024,2040.0,1561.0,844.0,0.7651960784313725,0.5406790518898142
San Francisco,2025,1983.0,1610.0,860.0,0.8119011598587998,0.5341614906832298
San Mateo,2005,1229.0,1086.0,626.0,0.8836452400325467,0.576427255985267
San Mateo,2006,1390.0,1282.0,754.0,0.9223021582733812,0.5881435257410297
San Mateo,2007,1468.0,1325.0,721.0,0.9025885558583107,0.5441509433962264
San Mateo,2008,1517.0,1346.0,711.0,0.8872775214238628,0.5282317979197623
San Mateo,2009,1479.0,1298.0,633.0,0.8776200135226504,0.487673343605547
San Mateo,2010,1480.0,1301.0,627.0,0.879054054054054,0.4819369715603382
San Mateo,2011,1516.0,1152.0,624.0,0.7598944591029023,0.5416666666666666
San Mateo,2012,1645.0,1191.0,622.0,0.7240121580547112,0.5222502099076406
